stock,date,open,close,label_3,label_7,xg3,xg7,log3,log7,open3,close3,open7,close7
CRM,2016-10-06,71.05,71.26,hold,hold,hold,hold,hold,buy,73.9,72.42,74.0,72.77
CRM,2016-10-07,71.25,70.91,hold,hold,hold,buy,hold,buy,72.26,72.23,72.61,72.82
CRM,2016-10-10,73.58,75.1,hold,hold,sell,sell,hold,buy,70.98,74.27,72.97,72.59
CRM,2016-10-11,73.9,72.42,hold,buy,hold,hold,hold,buy,74.1,72.83,,
CRM,2016-10-12,72.26,72.23,hold,buy,hold,hold,hold,buy,74.0,72.77,,
CRM,2016-10-14,70.98,74.27,sell,sell,hold,hold,hold,buy,72.61,72.82,,
CRM,2016-10-17,74.1,72.83,buy,buy,hold,hold,hold,buy,72.97,72.59,,
CRM,2016-10-18,74.0,72.77,buy,hold,hold,buy,hold,buy,,,,
CRM,2016-10-19,72.61,72.82,hold,hold,buy,hold,hold,buy,,,,
CRM,2016-10-20,72.97,72.59,hold,hold,buy,hold,hold,buy,,,,
M,2017-11-06,18.32,18.16,hold,hold,buy,buy,hold,buy,18.01,19.5,19.44,19.98
M,2017-11-07,18.16,17.53,hold,buy,buy,buy,hold,buy,19.51,19.98,20.0,20.25
M,2017-11-08,17.51,17.57,hold,hold,buy,buy,hold,buy,19.99,19.33,20.68,20.35
M,2017-11-09,18.01,19.5,hold,hold,hold,buy,hold,buy,19.15,19.7,20.34,20.8
M,2017-11-10,19.51,19.98,hold,hold,hold,hold,hold,buy,19.44,19.98,20.54,20.63
M,2017-11-13,19.99,19.33,hold,hold,hold,buy,hold,buy,20.0,20.25,21.3,21.07
M,2017-11-14,19.15,19.7,hold,hold,hold,sell,hold,buy,20.68,20.35,21.14,21.21
M,2017-11-15,19.44,19.98,hold,hold,hold,buy,hold,buy,20.34,20.8,21.41,22.17
M,2017-11-16,20.0,20.25,buy,hold,hold,buy,hold,buy,20.54,20.63,24.15,23.8
M,2017-11-17,20.68,20.35,sell,sell,hold,buy,hold,buy,21.3,21.07,23.84,24.19
M,2017-11-20,20.34,20.8,buy,hold,hold,buy,,,21.14,21.21,24.65,25.8
M,2017-11-22,20.54,20.63,hold,hold,buy,buy,,,21.41,22.17,25.8,25.22
M,2017-11-24,21.3,21.07,hold,buy,buy,buy,,,24.15,23.8,25.37,25.8
M,2017-11-27,21.14,21.21,hold,hold,buy,buy,,,23.84,24.19,,
M,2017-11-28,21.41,22.17,hold,hold,hold,hold,,,24.65,25.8,,
M,2017-11-30,24.15,23.8,hold,hold,buy,buy,,,25.8,25.22,,
M,2017-12-01,23.84,24.19,hold,hold,buy,buy,,,25.37,25.8,,
M,2017-12-04,24.65,25.8,hold,hold,hold,hold,,,,,,
M,2017-12-05,25.8,25.22,sell,sell,hold,hold,,,,,,
M,2017-12-08,25.37,25.8,hold,hold,hold,sell,,,,,,
MU,2015-07-27,18.1,18.12,hold,hold,buy,buy,hold,buy,19.75,19.9,18.93,18.72
MU,2015-07-28,18.35,19.75,hold,hold,sell,sell,hold,buy,20.02,18.51,18.45,18.44
MU,2015-07-29,19.98,19.87,hold,buy,sell,sell,hold,buy,18.61,19.0,18.58,18.82
MU,2015-07-30,19.75,19.9,hold,buy,sell,sell,hold,buy,19.18,18.91,18.63,17.88
MU,2015-07-31,20.02,18.51,hold,sell,hold,hold,hold,buy,18.93,18.72,17.65,18.19
MU,2015-08-03,18.61,19.0,hold,sell,hold,hold,hold,buy,18.45,18.44,18.23,17.7
MU,2015-08-05,19.18,18.91,hold,buy,buy,buy,hold,buy,18.58,18.82,17.76,16.95
MU,2015-08-06,18.93,18.72,hold,hold,sell,sell,hold,buy,18.63,17.88,16.47,17.22
MU,2015-08-07,18.45,18.44,sell,sell,hold,sell,hold,buy,17.65,18.19,17.0,16.38
MU,2015-08-10,18.58,18.82,hold,hold,sell,sell,hold,buy,18.23,17.7,16.24,15.9
MU,2015-08-11,18.63,17.88,hold,hold,sell,sell,hold,buy,17.76,16.95,15.35,14.74
MU,2015-08-12,17.65,18.19,hold,hold,sell,sell,hold,buy,16.47,17.22,14.39,14.53
MU,2015-08-13,18.23,17.7,hold,sell,sell,sell,hold,buy,17.0,16.38,13.81,14.44
MU,2015-08-14,17.76,16.95,hold,hold,sell,sell,hold,buy,16.24,15.9,14.63,15.67
MU,2015-08-17,16.47,17.22,hold,hold,sell,sell,hold,buy,15.35,14.74,16.15,15.96
MU,2015-08-18,17.0,16.38,hold,hold,sell,sell,hold,buy,14.39,14.53,15.91,16.41
MU,2015-08-19,16.24,15.9,hold,hold,sell,sell,hold,buy,13.81,14.44,15.8,15.82
MU,2015-08-20,15.35,14.74,hold,sell,sell,buy,hold,buy,14.63,15.67,16.09,16.29
MU,2015-08-21,14.39,14.53,hold,hold,hold,buy,hold,buy,16.15,15.96,16.3,16.82
MU,2015-08-24,13.81,14.44,hold,hold,buy,buy,hold,buy,15.91,16.41,,
MU,2015-08-27,14.63,15.67,buy,buy,hold,buy,hold,buy,15.8,15.82,,
MU,2015-08-28,16.15,15.96,hold,sell,hold,buy,hold,buy,16.09,16.29,,
MU,2015-08-31,15.91,16.41,hold,hold,hold,buy,hold,buy,16.3,16.82,,
MU,2015-09-01,15.8,15.82,hold,hold,buy,buy,hold,buy,,,,
MU,2015-09-02,16.09,16.29,buy,hold,buy,buy,hold,buy,,,,
MU,2015-09-04,16.3,16.82,buy,buy,hold,hold,hold,buy,,,,
NFLX,2016-09-26,95.38,94.56,buy,buy,hold,buy,hold,buy,97.31,96.67,103.5,106.28
NFLX,2016-09-27,95.04,97.07,hold,hold,hold,buy,hold,buy,96.9,98.55,104.97,105.07
NFLX,2016-09-28,97.1,97.48,hold,hold,buy,buy,hold,buy,98.0,102.63,103.98,104.82
NFLX,2016-09-29,97.31,96.67,sell,sell,buy,buy,hold,buy,103.19,102.34,103.18,103.33
NFLX,2016-09-30,96.9,98.55,sell,sell,buy,buy,hold,buy,103.5,106.28,102.31,100.59
NFLX,2016-10-03,98.0,102.63,hold,hold,hold,hold,hold,buy,104.97,105.07,100.88,99.5
NFLX,2016-10-04,103.19,102.34,buy,buy,hold,hold,hold,buy,103.98,104.82,98.01,100.23
NFLX,2016-10-05,103.5,106.28,hold,hold,hold,sell,hold,buy,103.18,103.33,101.59,101.47
NFLX,2016-10-06,104.97,105.07,hold,hold,hold,sell,hold,buy,102.31,100.59,100.5,99.8
NFLX,2016-10-07,103.98,104.82,sell,sell,sell,sell,hold,buy,100.88,99.5,116.63,118.79
NFLX,2016-10-10,103.18,103.33,buy,buy,sell,sell,hold,buy,98.01,100.23,118.25,121.87
NFLX,2016-10-11,102.31,100.59,hold,sell,hold,buy,hold,buy,101.59,101.47,122.5,127.5
NFLX,2016-10-12,100.88,99.5,hold,hold,hold,buy,hold,buy,100.5,99.8,127.42,127.33
NFLX,2016-10-13,98.01,100.23,hold,hold,buy,buy,hold,buy,116.63,118.79,126.52,126.51
NFLX,2016-10-14,101.59,101.47,hold,hold,buy,buy,hold,buy,118.25,121.87,126.29,126.97
NFLX,2016-10-17,100.5,99.8,hold,hold,buy,buy,hold,buy,122.5,127.5,127.43,126.47
NFLX,2016-10-18,116.63,118.79,hold,hold,buy,buy,hold,buy,127.42,127.33,126.08,126.57
NFLX,2016-10-19,118.25,121.87,hold,hold,buy,buy,hold,buy,126.52,126.51,126.85,124.87
NFLX,2016-10-21,122.5,127.5,hold,hold,hold,hold,hold,buy,126.29,126.97,122.83,122.34
NFLX,2016-10-24,127.42,127.33,hold,buy,hold,hold,hold,buy,127.43,126.47,,
NFLX,2016-10-25,126.52,126.51,sell,hold,hold,hold,hold,buy,126.08,126.57,,
NFLX,2016-10-26,126.29,126.97,hold,hold,hold,sell,hold,buy,126.85,124.87,,
NFLX,2016-10-27,127.43,126.47,hold,buy,hold,sell,hold,buy,122.83,122.34,,
NFLX,2016-10-28,126.08,126.57,hold,hold,sell,sell,hold,buy,,,,
NFLX,2016-10-31,126.85,124.87,hold,hold,hold,hold,hold,buy,,,,
NFLX,2016-11-02,122.83,122.34,hold,hold,hold,hold,hold,buy,,,,
NVDA,2017-02-22,111.42,110.76,buy,hold,sell,sell,hold,buy,102.2,104.41,98.57,98.43
NVDA,2017-02-23,105.5,100.49,hold,buy,hold,hold,hold,buy,104.8,101.48,96.96,97.67
